dagger/total_timesteps,bc/l2_loss,dagger/round_episode_count,batch_size,rollout/return_std,dagger/mean_episode_reward,bc/neglogp,rollout/return_max,bc/entropy,rollout/return_min,rollout/return_mean,bc/l2_norm,bc/loss,dagger/round_num,bc/epoch,bc/prob_true_act,dagger/round_timestep_count,bc/samples_so_far,bc/batch,bc/ent_loss
5100,0.0,17,32,0.21650990837245002,-0.25785240092698264,10.285017653643523,-3.278876880183816,4.256815433502197,-3.954196716658771,-3.57465231847018,46.50014877319336,10.280760837993954,0,0,0.00029867976928976274,5100,32,0,-0.004256815649569035
,0.0,,32,0.15933057109662246,,3.317162243686321,-2.7708714841865003,3.9817047119140625,-3.245929500553757,-2.9786053416668437,60.75566864013672,3.3131805388626483,,3,0.05711403530821092,,16032,500,-0.0039817048236727715
10200,0.0,17,32,0.3600568228436412,-0.19765343955334497,2.7724251398332878,-2.5123594696633518,3.878335952758789,-3.536357474513352,-3.009910963423317,63.82600784301758,2.7685468036663248,1,0,0.06983052960048909,5100,32,0,-0.0038783361669629812
,0.0,,32,0.38590794635067405,,2.531162089119178,-1.8599224446807057,3.4586477279663086,-2.9320707505685277,-2.591996196261607,82.20394134521484,2.5277034411304413,,1,0.11302989985764525,,16032,500,-0.0034586479887366295
,0.0,,32,0.8014132086334328,,2.9249937662716676,-0.5174622096819803,2.8775181770324707,-3.0261539057828486,-1.8790093424962833,111.41069030761719,2.922116247969838,,3,0.19001127969379072,,32032,1000,-0.0028775183018296957
15300,0.0,17,32,0.5240745994664325,-0.24873556876007247,1.4338400539052194,-1.2164767170906998,2.5423338413238525,-2.823687793686986,-2.1691830284311435,126.82209014892578,1.4312977199949777,2,0,0.27405393989977533,5100,32,0,-0.002542333910241723
,0.0,,32,0.21231471432721427,,1.4782516799337042,-0.44403411127859727,1.9342997074127197,-1.0240889184060507,-0.6423726447974332,150.71206665039062,1.4763173801061509,,1,0.4021136699194231,,16032,500,-0.0019342998275533319
,0.0,,32,1.0036949144128604,,0.586436078297258,-0.14666076361936575,1.3548498153686523,-2.8889335624407977,-0.904476308145604,170.3736572265625,0.5850812283999329,,2,0.9021065217716975,,32032,1000,-0.001354849897325039
,0.0,,32,0.7334110325481737,,0.24408941298729808,-0.2699043623142643,0.8234801292419434,-2.1646040353225544,-0.7039510349262855,186.17300415039062,0.24326593279379488,,3,1.3871930606903253,,48032,1500,-0.000823480193503201
20400,0.0,17,32,0.21907039788903135,-0.2145654052934226,0.5267294857975631,-0.10168246238026768,0.4632323980331421,-0.6939490394652239,-0.3930852973633591,196.82785034179688,0.5262662533704261,3,0,1.9667957753639185,5100,32,0,-0.00046323242713697255
,0.0,,32,0.3798249997140313,,0.155195708488991,-0.14590039402173716,0.14404428005218506,-1.1399087527533993,-0.43194253847104846,207.18072509765625,0.15505166420241956,,0,2.793214729580887,,16032,500,-0.00014404428657144308
,0.0,,32,0.07560422603165051,,0.3087660237041031,-0.1119887830427615,-0.037757158279418945,-0.3456965687510092,-0.22300986409245524,216.1660919189453,0.3088037808636922,,1,3.284854473237813,,32032,1000,3.7757159589091316e-05
,0.0,,32,0.26472749426293507,,-1.069027223854746,-0.14829651675972855,-0.29336345195770264,-0.8990597081210581,-0.39216513870924247,222.67803955078125,-1.0687338603869558,,2,4.252227887915232,,48032,1500,0.0002933634677901864
,0.0,,32,0.01119735797139719,,-1.2189733819496509,-0.16678990296713891,-0.4342919588088989,-0.19713820087054046,-0.18425047799573804,227.9602508544922,-1.2185390899640665,,3,4.790156593228309,,64032,2000,0.00043429198558442295
,0.0,,32,0.11763028818076311,,-0.9631007691486347,-0.21949028625385836,-0.530083179473877,-0.521446522725455,-0.2874834792914044,232.31008911132812,-0.9625706859505344,,3,5.1168612417724,,80032,2500,0.0005300831981003284
25500,0.0,17,32,0.18387893591535326,-0.16526528973789778,-1.5678335511923978,-0.13760506172911846,-0.5171884298324585,-0.6634955429617548,-0.3480865021207137,232.96043395996094,-1.5673163627374196,4,0,5.344477899364774,5100,32,0,0.000517188454978168
,0.0,,32,0.04791862049743532,,-1.502569289011639,-0.16516290188519633,-0.5724817514419556,-0.2894861468103045,-0.21460296276673035,238.13912963867188,-1.501996807236914,,0,5.62250556845261,,16032,500,0.0005724817747250199
,0.0,,32,0.12552022086332806,,-0.7278173638511746,-0.15571627461031312,-0.697087287902832,-0.5033058509980037,-0.35890443326279636,241.56149291992188,-0.7271202765292785,,1,5.351932291164893,,32032,1000,0.000697087321896106
,0.0,,32,0.16134308493055352,,-1.2979001049259535,-0.0670574364849017,-0.7255251407623291,-0.5191313359391643,-0.304936521505806,244.9576416015625,-1.2971745797274492,,1,6.5957520445396085,,48032,1500,0.0007255251985043287
,0.0,,32,0.1411711542256492,,-0.13172691905402745,-0.15064028431515908,-0.7424386739730835,-0.5632651104169781,-0.29657245481794237,247.8914794921875,-0.13098448033907617,,2,5.59586383797099,,64032,2000,0.0007424387149512768
,0.0,,32,0.22511618212988732,,-1.8818770938812737,-0.12144199529575417,-0.8856685161590576,-0.7212702241668012,-0.33158716544339767,250.22747802734375,-1.8809914253213424,,3,7.357229546385246,,80032,2500,0.0008856685599312186
,0.0,,32,0.06153655005285692,,-1.8419165536293796,-0.1788501753580931,-0.8980996608734131,-0.3379782149931998,-0.2657255897196592,252.6825714111328,-1.8410184539503454,,3,8.201930832652026,,96032,3000,0.0008980996790342033
30600,0.0,17,32,0.032536668041190334,-0.1715798612464877,-1.2169974736076232,-0.11006730791996233,-0.8935928344726562,-0.1942047621942038,-0.13914741597818647,254.66551208496094,-1.216103880714943,5,0,7.099651605194643,5100,32,0,0.0008935928926803172
,0.0,,32,0.10838859606057163,,1.018445087202847,-0.0403010917998472,-0.9376523494720459,-0.3605393984944385,-0.16856123825273245,257.6497497558594,1.0193827395695485,,0,7.691092107965872,,16032,500,0.0009376523667015135
,0.0,,32,0.08189514879647383,,-1.3623517351191914,-0.15106910428221454,-1.0244991779327393,-0.3341126505401917,-0.25199712612211445,259.144287109375,-1.3613272359328767,,1,7.817521879366347,,32032,1000,0.0010244991863146424
,0.0,,32,0.11820731723957732,,-1.0690653138570219,-0.12106753943953663,-1.040064811706543,-0.4413462901720777,-0.3035209156398196,262.0282287597656,-1.0680252490108564,,1,6.983121596244783,,48032,1500,0.0010400648461654782
