t,q1,q2,q3,dq1,dq2,dq3,tau
0,0,0,0,0,0,0,117.809724509617
0.01,0.0655239694017467,-0.0897820603873152,-0.0185888723880879,9.14307849215357,-10.4681218789749,-3.17798844748113,62.2657366385874
0.02,0.136794186046313,-0.143430455830127,-0.0394043359920069,6.92657034587294,-3.7057745212478,-1.17089097032408,62.6577448733056
0.03,0.211538322615229,-0.176060134491918,-0.0493044033612143,8.06501831392571,-2.884674244288,-0.860187009796069,45.7538845477043
0.04,0.288894901108489,-0.189003184324343,-0.0542435556872052,7.970676209245,-0.770634939008085,-0.205810624438382,34.6221082971189
0.05,0.367030576549672,-0.187018144103521,-0.054045840227925,8.03856200143509,0.448948194659623,0.180930217252387,22.562328019991
0.06,0.444421604780083,-0.173538481843431,-0.0503389940936662,7.84478428746994,1.4840731192888,0.499360905154386,11.9225623552551
0.07,0.519505359674815,-0.151902234964078,-0.0440416359769827,7.53010461540394,2.17109974918299,0.705901793707313,2.23339748137532
0.08,0.59087141121218,-0.124902575632504,-0.036098489505056,7.06853562871132,2.6196583273785,0.835588079174412,-6.16366531576631
0.09,0.65725262704291,-0.0948899242605722,-0.027235423973006,6.48932759456772,2.85723212007818,0.897284474865984,-13.2248075196578
0.1,0.717571004362766,-0.0637664479485885,-0.0180432569715826,5.81008951537032,2.92861825865952,0.908455340877409,-18.8763737216492
0.11,0.770962577475856,-0.0330540225958993,-0.00897681236994554,5.05549063059211,2.86593216528939,0.879880919837513,-23.1121152647217
0.12,0.816801034510289,-0.0039544147863293,-0.000387728226816543,4.25068911503186,2.6971355098549,0.820526220887171,-25.9638762420854
0.13,0.854708408916702,0.0225957187901468,0.00745453065647068,3.42188950750971,2.44410487475602,0.738406034722304,-27.5059843654366
0.14,0.884553273884888,0.0458847924910241,0.0143472507661962,2.59348804836487,2.12817673372833,0.637112676622253,-27.8407068149404
0.15,0.906438824295912,0.065398013890269,0.0201413416664964,1.78908400372482,1.76540097776247,0.523893859362081,-27.1015191533936
0.16,0.920677745991261,0.080803436279894,0.0247386769269432,1.02819932617381,1.37375384683811,0.402548754723189,-25.4329340199409
0.17,0.927763306338648,0.0919379309828068,0.0280876634475605,0.327608449233586,0.968801595697082,0.278161192587518,-22.9928136873479
0.18,0.928334012936492,0.0987980819225295,0.0301820309538204,-0.300045408123608,0.56609429935185,0.155009530501456,-19.9401503902385
0.19,0.923137798446159,0.101526259655398,0.031058275563438,-0.845654319767696,0.179511207008553,0.0371793178012251,-16.4326736584681
0.2,0.912996736878417,0.10039331498204,0.0307915931273089,-1.30364465081775,-0.178870227725802,-0.071714706844245,-12.6215627680566
0.21,0.898774458709165,0.0957763980782111,0.0294900990594766,-1.67153942004106,-0.499388490206159,-0.168678648547893,-8.64874719655215
0.22,0.881347206414505,0.0881335238634164,0.0272874627616699,-1.94958025239654,-0.775014322633387,-0.251462606643405,-4.64445519057583
